id,brand_name,brief,price,product_url,image_url
616,SKYNORA,"Golf Shirts for Men - Print Mens Golf Polo Shirts Dry fit Moisture Wicking, Breathable Casual Short Sleeve Polo Shirt",14.99,https://www.amazon.com/Golf-Shirts-Men-Dinosaur-Breathable/dp/B0C4KT1KQZ/ref=sr_1_306,https://m.media-amazon.com/images/I/71E15s+84FL._AC_UL320_.jpg
617,Gildan,Men's DryBlend Jersey Short Sleeve Polo Shirt X-Large Black,10.95,https://www.amazon.com/Gildan-Adult-DryBlend-Jersey-Sleeve/dp/B00AWVXJLY/ref=sr_1_194,https://m.media-amazon.com/images/I/5146Ztq6bFS._AC_UL320_.jpg
618,Tommy Hilfiger,Men's Big & Tall Short Sleeve Cotton Pique Polo Shirt in Classic Fit,69.5,https://www.amazon.com/Tommy-Hilfiger-Mens-Shirt-Black/dp/B000JCB5ZI/ref=sr_1_195,https://m.media-amazon.com/images/I/61QDffjcIcL._AC_UL320_.jpg
619,Callaway,Men's Short Sleeve Ottoman Performance Golf Polo,26.99,https://www.amazon.com/Callaway-Short-Sleeve-Ottoman-Medium/dp/B010OSW0X2/ref=sr_1_196,https://m.media-amazon.com/images/I/81P39EHr5+L._AC_UL320_.jpg
620,ISEEGZ,Mens Golf Shirt Short Sleeve Funny Print Golf Polo Shirts for Men Lightweight Dry Fit Quick Dry Collared Golf Polos,21.99,https://www.amazon.com/ISEEGZ-Sleeve-Lightweight-Collared-Outdoor/dp/B0C49KW1PS/ref=sr_1_197,https://m.media-amazon.com/images/I/81v1Jw81+IL._AC_UL320_.jpg
621,Lee,"mens Classic Polo Shirt, White, Medium US",14.07,https://www.amazon.com/Lee-Uniforms-Modern-Sleeve-Medium/dp/B008999668/ref=sr_1_198,https://m.media-amazon.com/images/I/81R+TKHXKJS._AC_UL320_.jpg
622,Gildan,"Gildan Mens Ultra Cotton Pique Polo Shirt (3XL, Maroon)",15.99,https://www.amazon.com/Gildan-Ultra-Cotton-Pique-Maroon/dp/B0BNR39647/ref=sr_1_199,https://m.media-amazon.com/images/I/71YsCTAp2KS._AC_UL320_.jpg
623,M MAELREG,Mens Polo Shirts Short and Long Sleeve Casual Solid Stylish Dry Fit Performance Designed Collared Golf Polo Shirts for Men,27.16,https://www.amazon.com/MAELREG-Performance-Moisture-Wicking-Collared/dp/B0BLCB2DWP/ref=sr_1_200,https://m.media-amazon.com/images/I/519I++4390L._AC_UL320_.jpg
624,PICKLION,Mens Long Sleeve Polo Shirts Casual Moisture Wicking Golf Polo Shirts with Pocket,25.99,https://www.amazon.com/PICKLION-Sleeve-Shirts-Moisture-Wicking/dp/B0CCXT2CRB/ref=sr_1_201,https://m.media-amazon.com/images/I/71liVkdmR8L._AC_UL320_.jpg
625,Qekoma,Men's Casual Polo Shirts Classic Button Basic Long Sleeve Shirt Solid Color Cotton Tees Stylish Tops,26.99,https://www.amazon.com/Casual-Shirts-Classic-Button-Stylish/dp/B0CHY1X4PF/ref=sr_1_311,https://m.media-amazon.com/images/I/71DM2qhD8JL._AC_UL320_.jpg
